pond,date,sampling_time,total_coliform,temp_celsius(air),ORP_mV,turbidity_FAU,e_coli_MPN_100_mL,enterococci,temp_celsius(water),conductivity_mu_S,pH
1,2/5/2014,9:40 AM,1.0,23.9,192.0,11.0,1.0,37.2,20.7,141.0,7.04
1,2/12/2014,9:15 AM,26.6,17.4,179.0,10.0,1.0,1046.2,17.9,154.0,7.18
1,2/13/2014,10:00 AM,111.9,14.9,96.0,7.0,2.0,1299.7,17.5,124.0,6.93
1,2/19/2014,9:00 AM,4640.0,19.3,123.0,12.0,2.0,50.5,18.1,138.0,7.38
1,2/26/2014,9:15 AM,2.0,16.8,195.0,11.0,1.0,478.6,21.1,161.0,8.09
1,3/5/2014,9:30 AM,488.4,18.5,164.0,10.0,1.0,23.7,21.5,154.0,8.0
1,3/12/2014,9:00 AM,23.1,20.5,137.0,23.0,1.0,1413.6,21.3,227.0,8.85
1,3/18/2014,9:00 AM,2419.6,16.5,106.0,48.0,9.7,1299.7,21.1,136.0,8.86
1,3/19/2014,9:05 AM,816.4,16.5,108.0,29.0,1.0,32.0,21.2,140.0,8.39
1,3/26/2014,9:05 AM,547.5,7.5,102.0,28.0,1.0,28.5,20.5,140.0,8.28
1,4/2/2014,9:00 AM,2419.6,18.5,123.0,25.0,1.0,410.6,21.6,136.0,9.57
1,4/9/2014,9:15 AM,461.1,15.0,124.0,18.0,1.0,21.1,22.0,136.0,9.05
1,4/16/2014,9:05 AM,261.3,12.5,136.0,16.0,1.0,24.7,23.4,129.0,9.23
1,4/23/2014,9:00 AM,1732.9,21.0,171.0,13.0,1.0,12.3,22.5,175.0,9.29
1,4/30/2014,10:00 AM,547.5,27.5,177.0,28.0,1.0,5.1,28.2,155.0,9.72
1,5/7/2014,9:00 AM,2280.0,23.8,153.0,12.0,3.1,10.8,26.7,137.0,9.1
1,5/14/2014,9:30 AM,1119.9,27.0,104.0,30.0,1.0,11.0,28.1,140.0,10.53
1,5/15/2014,9:25 AM,224.7,26.5,98.0,55.0,1.0,4.1,28.2,123.0,10.21
1,5/21/2014,9:00 AM,686.7,23.6,92.0,46.0,1.0,2.0,26.3,107.0,10.63
1,5/28/2014,8:56 AM,3990.0,27.0,100.0,26.0,1.0,22.6,28.8,98.0,10.34
1,6/4/2014,9:05 AM,5560.0,25.7,145.0,18.0,1.0,185.0,27.5,98.0,9.42
1,6/11/2014,8:55 AM,2930.0,24.1,147.0,24.0,1.0,6.1,29.7,104.0,9.37
1,6/18/2014,9:15 AM,1553.1,27.0,162.0,49.0,1.0,10.9,29.7,100.0,9.6
1,6/25/2014,8:55 AM,1553.1,28.7,178.0,25.0,1.0,21.1,31.0,103.0,9.36
2,11/7/2012,11:46 AM,9340.0,18.5,152.0,24.0,7.4,46.5,21.0,355.0,7.98
2,11/14/2012,11:38 AM,5940.0,22.5,178.0,17.0,2.0,124.0,21.3,359.0,8.56
2,11/21/2012,9:34 AM,8820.0,18.6,173.0,72.0,7.4,270.0,19.0,368.0,7.89
2,11/28/2012,11:39 AM,10810.0,25.7,156.0,34.0,1.0,2419.6,20.8,356.0,8.88
2,12/5/2012,11:20 AM,4350.0,24.6,155.0,57.0,1.0,524.7,20.6,332.0,9.55
2,12/12/2012,9:40 AM,27550.0,22.2,136.0,58.0,28.5,2419.6,22.2,331.0,9.17
2,12/19/2012,9:38 AM,22820.0,17.9,145.0,23.0,1.0,1203.3,19.6,360.0,8.2
2,12/23/2012,12:20 PM,123600.0,18.9,142.0,35.0,325.5,2419.6,17.8,337.0,7.86
2,12/26/2012,11:39 AM,34480.0,23.6,131.0,18.0,30.1,2419.6,18.1,329.0,7.97
2,1/2/2013,11:44 AM,1553.1,26.3,168.0,23.0,1.0,1553.1,20.8,319.0,8.92
2,1/9/2013,10:11 AM,2419.6,24.9,114.0,35.0,2.0,231.0,20.9,311.0,9.42
2,1/16/2013,9:56 AM,1553.1,23.7,93.0,39.0,1.0,70.3,21.6,311.0,9.58
2,1/23/2013,9:49 AM,2419.6,16.4,80.0,16.0,4.1,1732.9,17.1,336.0,8.79
2,1/30.2013,9:50 AM,8600.0,23.0,56.0,14.0,3.0,52.8,20.7,334.0,9.0
2,2/6/2013,10:02 AM,2430.0,22.2,101.0,19.0,1.0,6.3,18.3,337.0,9.28
2,2/13/2013,10:05 AM,2419.6,23.9,91.0,17.0,1.0,3.1,18.6,335.0,8.97
2,2/15/2013,10:17 AM,298700.0,12.4,125.0,26.0,524.7,2880.0,18.8,335.0,8.18
2,2/17/2013,10:04 AM,61310.0,9.6,56.0,25.0,156.5,1553.1,17.1,333.0,7.96
2,2/18/2013,10:26 AM,19680.0,15.7,144.0,24.0,102.2,1986.3,16.8,340.0,7.88
2,2/20/2013,9:53 AM,43600.0,19.4,147.0,19.0,24.3,172.7,18.3,334.0,8.2
2,2/27/2013,9:55 AM,4140.0,19.7,120.0,21.0,30.9,1046.2,21.6,338.0,8.85
2,3/6/2013,10:08 AM,2419.6,13.3,137.0,29.0,1.0,178.2,17.7,339.0,8.54
2,3/13/2013,10:08 AM,2419.6,14.5,129.0,15.0,2.0,2419.6,17.8,344.0,8.78
2,3/20/2013,9:29 AM,1413.6,21.0,117.0,7.0,2.0,15.8,21.4,349.0,8.87
2,3/23/2013,7:46 AM,6488000.0,17.9,72.0,48.0,11530.0,15290.0,18.7,264.0,7.7
2,3/25/2013,10:09 AM,488400.0,16.7,86.0,12.0,1986.3,2419.6,19.7,256.0,7.68
2,3/27/2013,9:53 AM,86000.0,11.0,23.0,15.0,238.2,343.0,17.6,275.0,7.56
2,4/3/2013,10:11 AM,3500.0,24.4,52.0,30.0,2.0,290.4,22.7,273.0,9.51
2,4/6/2013,9:48 AM,36540.0,17.2,67.0,37.0,53.7,461.1,20.6,272.0,9.37
2,4/8/2013,10:09 AM,4740.0,26.2,86.0,47.0,1.0,69.5,22.3,272.0,9.7
2,4/10/2013,10:02 AM,866400.0,24.6,100.0,28.0,2.0,31.9,22.4,279.0,9.26
2,4/17/2013,9:26 AM,3450.0,23.4,84.0,17.0,1.0,20.0,25.2,295.0,9.17
2*,4/20/2013,9:53 AM,68670000.0,28.9,90.0,22.0,9830.0,8200.0,25.2,289.0,7.84
2*,4/22/2013,9:42 AM,37840000.0,20.3,91.0,32.0,14970.0,3210.0,24.1,293.0,7.44
2*,4/24/2013,10:13 AM,98040000.0,25.6,108.0,29.0,2180.0,2419.6,24.1,294.0,7.51
2,4/30/2013,10:23 AM,816400.0,23.6,95.0,21.0,435.2,2419.6,25.4,294.0,7.67
2,5/1/2013,10:05 AM,980400.0,22.3,113.0,20.0,290.3,5450.0,25.5,303.0,7.79
2,5/2/2013,9:10 AM,24810000.0,20.2,68.0,26.0,6950.0,141360.0,23.9,299.0,7.53
2,5/7/2013,9:59 AM,275500.0,20.7,67.0,17.0,235.9,2060.0,23.8,296.0,7.34
