pond,date,sampling_time,total_coliform,temp_celsius(air),ORP_mV,turbidity_FAU,e_coli_MPN_100_mL,enterococci,temp_celsius(water),conductivity_mu_S,pH
1,11/7/2012,11:10 AM,1460.0,17.7,110,24,1.0,12.1,20.6,186.0,9.81
1,11/14/2012,11:20 AM,4480.0,23.2,102,31,1.0,31.3,21.4,208.0,10.17
1,11/21/2012,9:13 AM,2310.0,20.7,119,21,1.0,17.3,18.6,200.0,9.6
1,11/28/2012,11:21 AM,1732.9,25.4,101,35,1.0,70.6,19.9,217.0,9.96
1,12/5/2012,11:05 AM,2419.6,29.0,105,69,1.0,35.4,21.1,220.0,9.97
1*,12/12/2012,9:20 AM,54750.0,22.1,111,24,50.4,2419.6,22.2,232.0,8.65
1,12/19/2012,9:22 AM,2650.0,20.8,110,18,2.0,90.9,19.1,231.0,9.29
1,12/23/2012,12:08 PM,8620.0,17.6,114,19,19.7,920.8,17.8,252.0,9.18
1*,12/26/2012,11:25 AM,4650.0,24.1,113,40,55.6,1732.9,19.2,249.0,9.48
1,1/2/2013,11:29 AM,547.5,27.3,157,39,1.0,30.1,20.6,252.0,9.54
1,1/9/2013,9:56 AM,816.4,26.7,97,74,1.0,49.7,21.8,253.0,9.8
1,1/16/2013,9:43 AM,980.4,24.6,71,13,1.0,26.9,21.6,250.0,9.99
1,1/23/2013,9:43 AM,770.1,15.9,62,22,1.0,49.5,16.8,276.0,9.05
1,1/30.2013,9:37 AM,461.1,23.3,36,33,1.0,9.7,21.2,268.0,9.41
1,2/6/2013,9:51 AM,224.7,20.0,82,29,1.0,3.1,17.8,265.0,9.45
1,2/13/2013,9:50 AM,325.5,23.6,80,47,1.0,8.5,17.8,753.0,8.69
1,2/15/2013,10:04 AM,7030.0,13.1,109,21,29.8,2419.6,18.2,336.0,9.52
1,2/17/2013,9:40 AM,1203.3,9.2,41,27,6.3,58.6,16.5,272.0,9.29
1,2/18/2013,10:09 AM,9590.0,15.5,136,16,22.8,193.5,18.6,298.0,8.65
1,2/20/2013,9:42 AM,8820.0,19.9,223,17,5.2,98.5,19.1,291.0,8.72
1,2/27/2013,9:41 AM,8130.0,19.6,109,13,22.1,133.3,22.0,294.0,9.16
1,3/6/2013,9:58 AM,1046.2,17.4,123,24,3.1,9.7,18.2,289.0,9.19
1,3/13/2013,9:55 AM,57940.0,16.9,115,16,7.4,63.1,18.2,273.0,9.17
1,3/20/2013,9:15 AM,2160.0,19.8,109,15,4.1,60.2,21.5,269.0,9.29
1,3/23/2013,7:32 AM,166400.0,18.0,58,26,209.8,27550.0,18.8,250.0,9.16
1,3/25/2013,9:39 AM,36540.0,19.2,68,17,127.4,325.5,20.2,250.0,8.88
1,3/27/2013,9:40 AM,156500.0,9.4,10,46,579.4,980.4,17.0,263.0,8.64
1,4/3/2013,10:11 AM,172.3,24.3,60,20,2.0,2.0,23.5,251.0,9.94
1,4/6/2013,9:35 AM,3840.0,17.2,76,20,1.0,980.4,20.6,249.0,9.48
1,4/8/2013,10:00 AM,2419.6,23.8,90,15,5.2,13.4,22.5,249.0,9.51
1,4/10/2013,9:50 AM,2560.0,23.9,93,20,3.1,12.1,22.9,251.0,9.41
1,4/17/2013,9:13 AM,1553.1,24.4,82,28,1.0,75.9,25.8,270.0,9.17
1,4/20/2013,9:38 AM,32550.0,19.6,75,29,55.7,16160.0,25.4,259.0,8.91
1,4/22/2013,9:27 AM,4080.0,19.3,80,28,10.7,1046.2,24.1,263.0,8.57
1,4/24/2013,9:57 AM,686.7,23.8,94,16,1.0,60.5,24.4,266.0,8.64
1*,4/30/2013,10:08 AM,131700.0,23.0,85,26,344.8,51720.0,25.4,259.0,8.46
1,5/1/2013,9:51 AM,2419.6,23.2,104,17,6.2,7120.0,25.8,274.0,8.12
1,5/2/2013,8:54 AM,41060.0,20.7,57,24,39.5,81640.0,24.2,260.0,7.94
1,5/7/2013,9:45 AM,1413.6,20.3,55,30,1.0,227.9,24.3,257.0,8.55
1,5/8/2013,9:42 AM,980.4,24.4,48,31,2.0,74.3,24.6,256.0,8.7
1,5/15/2013,9:42 AM,410.6,24.7,35,20,1.0,36.7,25.5,262.0,8.83
1*,5/21/2013,9:45 AM,12340.0,25.5,57,28,65.7,4480.0,27.9,245.0,8.92
