pond,date,sampling _time,total_coliform,temp_celsius(air),ORP_mV,turbidity_FAU
1,11/7/2012,11:10 AM,1460,17.7,110,24
1,11/14/2012,11:20 AM,4480,23.2,102,31
1,11/21/2012,9:13 AM,2310,20.7,119,21
1,11/28/2012,11:21 AM,1732.9,25.4,101,35
1,12/5/2012,11:05 AM,2419.6,29,105,69
1*,12/12/2012,9:20 AM,54750,22.1,111,24
1,12/19/2012,9:22 AM,2650,20.8,110,18
1,12/23/2012,12:08 PM,8620,17.6,114,19
1*,12/26/2012,11:25 AM,4650,24.1,113,40
1,1/2/2013,11:29 AM,547.5,27.3,157,39
1,1/9/2013,9:56 AM,816.4,26.7,97,74
1,1/16/2013,9:43 AM,980.4,24.6,71,13
1,1/23/2013,9:43 AM,770.1,15.9,62,22
1,1/30.2013,9:37 AM,461.1,23.3,36,33
1,2/6/2013,9:51 AM,224.7,20,82,29
1,2/13/2013,9:50 AM,325.5,23.6,80,47
1,2/15/2013,10:04 AM,7030,13.1,109,21
1,2/17/2013,9:40 AM,1203.3,9.2,41,27
1,2/18/2013,10:09 AM,9590,15.5,136,16
1,2/20/2013,9:42 AM,8820,19.9,223,17
1,2/27/2013,9:41 AM,8130,19.6,109,13
1,3/6/2013,9:58 AM,1046.2,17.4,123,24
1,3/13/2013,9:55 AM,57940,16.9,115,16
1,3/20/2013,9:15 AM,2160,19.8,109,15
1,3/23/2013,7:32 AM,166400,18,58,26
1,3/25/2013,9:39 AM,36540,19.2,68,17
1,3/27/2013,9:40 AM,156500,9.4,10,46
1,4/3/2013,10:11 AM,172.3,24.3,60,20
1,4/6/2013,9:35 AM,3840,17.2,76,20
1,4/8/2013,10:00 AM,2419.6,23.8,90,15
1,4/10/2013,9:50 AM,2560,23.9,93,20
1,4/17/2013,9:13 AM,1553.1,24.4,82,28
1,4/20/2013,9:38 AM,32550,19.6,75,29
1,4/22/2013,9:27 AM,4080,19.3,80,28
1,4/24/2013,9:57 AM,686.7,23.8,94,16
1*,4/30/2013,10:08 AM,131700,23,85,26
1,5/1/2013,9:51 AM,2419.6,23.2,104,17
1,5/2/2013,8:54 AM,41060,20.7,57,24
1,5/7/2013,9:45 AM,1413.6,20.3,55,30
1,5/8/2013,9:42 AM,980.4,24.4,48,31
1,5/15/2013,9:42 AM,410.6,24.7,35,20
1*,5/21/2013,9:45 AM,12340,25.5,57,28
1,5/22/2013,9:42 AM,9600,24.7,1,21
1,5/24/2013,9:43 AM,29090,28.4,41,22
1,5/26/2013,9:39 AM,3730,26.7,72,17
1,5/29/2013,9:45 AM,488.4,25.6,94,14
1,10/9/2013,9:00 AM,2620,22.9,82,14
1,10/16/2013,9:10 AM,1732.9,22.8,93,5
1,10/23/2013,9:00 AM,4110,24.1,117,9
1,10/30/2013,8:50 AM,34410,21.5,74,1
1,11/6/2013,9:00 AM,2920,24.6,26,7
1,11/13/2013,9:00 AM,2419.6,17.7,37,18
1,11/20/2013,9:15 AM,1986.3,24,77,8
1,11/27/2013,9:10 AM,2560,20.2,11,9
1,12/3/2013,9:30 AM,3740,22,39,8
1,12/11/2013,9:30 AM,1732.9,19.8,73,9
1,12/18/2013,9:15 AM,1553.1,13,87,9
1,12/23/2013,9:15 AM,325.5,24.1,53,8
1,12/30/2013,9:00 AM,5880,17,84,18
1,1/7/2014,8:50 AM,2880,2.8,147,13
1,1/8/2014,9:00 AM,1732.9,7.5,129,10
1,1/15/2014,9:20 AM,2419.6,12.5,95,10
1,1/22/2014,9:20 AM,2419.6,7,131,5
1,1/23/2014,9:55 AM,410.6,9.5,132,4
1,1/24/2014,9:20 AM,1046.2,8.6,154,6
1,1/29/2014,9:00 AM,2419.6,13.6,119,9
