woy,ecoli,ph,cond,do,flow,a_t,w_t,turb,perc_SAV,SAV_pa,precip_1d,avg_solar_1d,precip_2d,avg_solar_2d,precip_3d,avg_solar_3d,precip_4d,avg_solar_4d,precip_5d,avg_solar_5d,avg_temp_0_to_5d,precip_10d,avg_temp_10d,avg_solar_10d,precip_20d,avg_temp_20d,avg_solar_20d,precip_30d,avg_temp_30d,avg_solar_30d,rdparallel,org_matter,sand,fine_gravel,coarse_gravel,clay,rocky,bottom_collapsed,cobbleorbigger,outfall_ditch,camp_min,camp_density,camp_pa,culverts_min,culverts_pa,dams_min,dams_pa,anylivestock_min,anylivestock_density,anylivestock_pa,cattle_min,cattle_density,cattle_pa,livestock_goatsheep_min,livestock_goatsheep_density,livestock_goatsheep_pa,livestock_horse_min,livestock_horse_density,livestock_horse_pa,livestock_pigs_min,livestock_pigs_density,livestock_pigs_pa,livestock_poultry_min,livestock_poultry_density,livestock_poultry_pa,roadsinterx_min,stormwateroutfalls_min,stormwateroutfalls_pa,trailer_min,trailer_density,trailer_pa,wastewater_min,wastewater_density,wastewater_pa,waterbodiesinterx_min,waterbodiesinterx_pa,septic_adj_sepden_m2,DG3_pa,GFD_pa,HF183_pa,Rum2Bac_pa,idw_X11,idw_X21,idw_X22,idw_X81,idw_X82,idw_forwet,impcvr_idw_mean,area_10km,buffer_60m_idw_X21,buffer_60m_idw_X22,buffer_60m_idw_X81,buffer_60m_idw_X82,buffer_60m_idw_forwet
24,2.078819183,7.83,2.815577748,7.36,0.3,30.7,19.2,0.906335042,0.35,present,0,1.014720246,0,0.793742152,0,0.801765034,0,0.92768941,0,0.673573322,17.88425926,3.937,15.87731481,0.516813171,0.127,21.15486111,0.832688015,3.8354,15.65486111,0.738942375,n,n,y,y,y,n,rocky,coarse gravel,a,n,NA,0,0,NA,0,4.358368109,Present,4.378313848,1.34,Present,4.920341671,0.895,Present,NA,0,0,NA,0,0,4.378313848,0.448,Present,NA,0,0,0.045005447,NA,0,NA,0,0,NA,0,0,NA,0,90.6,N,N,N,N,0.183957005,5.989031583,1.596175953,13.99704226,37.83696046,40.39683274,0.653086312,2.234605436,5.68152703,3.939277479,11.95234435,10.27094543,67.68511401
30,3.397940009,NA,2.781755375,3.23,0.1,30.1,21.1,1.075546961,1,present,0.3302,0.457129901,1.524,0.307660109,0.5334,0.439340031,0.0508,0.741419004,1.2954,0.815020232,21.81481481,1.4732,21.81342593,0.969373518,0.0762,21.88935185,1.004970699,4.7752,23.9650463,0.870692061,n,n,y,y,y,n,rocky,coarse gravel,a,n,NA,0,0,NA,0,4.358368109,Present,4.378313848,1.34,Present,4.920341671,0.895,Present,NA,0,0,NA,0,0,4.378313848,0.448,Present,NA,0,0,0.045005447,NA,0,NA,0,0,NA,0,0,NA,0,90.6,N,N,P,N,0.183957005,5.989031583,1.596175953,13.99704226,37.83696046,40.39683274,0.653086312,2.234605436,5.68152703,3.939277479,11.95234435,10.27094543,67.68511401
21,3.397940009,7.54,2.716003344,6.59,NA,23.7,18.1,1.025305865,0.05,present,0.0254,0.69746756,1.6764,0.530905539,0,0.975826706,0.4318,0.394690945,1.0922,0.53474257,16.9375,0.7112,16.77407407,0.79670713,1.8796,14.87939815,0.725320915,2.3876,12.44768519,0.55302079,n,n,y,y,y,n,rocky,coarse gravel,a,n,NA,0,0,NA,0,4.358368109,Present,4.378313848,1.34,Present,4.920341671,0.895,Present,NA,0,0,NA,0,0,4.378313848,0.448,Present,NA,0,0,0.045005447,NA,0,NA,0,0,NA,0,0,NA,0,90.6,N,N,N,N,0.183957005,5.989031583,1.596175953,13.99704226,37.83696046,40.39683274,0.653086312,2.234605436,5.68152703,3.939277479,11.95234435,10.27094543,67.68511401
33,2.588047497,8.49,2.831229694,9.4,0.9,23.2,23,0.648360011,0.6,present,0,0.608867029,0,1.009662341,0,0.904667225,0,0.900132552,0.5588,0.660143714,21.35648148,1.778,23.67175926,0.73936096,2.4638,21.97060185,0.715309753,3.048,22.46944444,0.922840798,n,n,y,y,n,n,rocky,cobble or bigger,p,n,18.24080238,0.069,Present,1.97470821,Present,2.604380799,Present,1.441770055,0.952,Present,1.441770055,0.759,Present,65.38281068,0.0276,Present,2.385249166,0.0966,Present,43.57217355,0.0138,Present,9.115373659,0.0414,Present,0.083467317,18.31492631,Present,2.017043339,0.373,Present,8.046806012,0.11,Present,11.93761789,Present,107,N,N,P,N,2.68806872,6.039824033,4.754390671,14.40418094,34.7531164,36.77764616,0.15956568,72.47210783,4.13107242,6.246913355,14.1534849,21.42672688,50.41710515
22,1.779596491,8.52,2.745855195,11.43,1.2,29.1,23.7,0.598790507,0.75,present,0,1.147097809,0,0.812752895,0,0.625959258,0,0.909725129,0,1.150586019,21.60185185,1.8034,16.15462963,0.810032092,2.8448,14.19351852,0.797125715,1.6002,15.51782407,0.853338217,n,n,y,y,n,n,rocky,cobble or bigger,p,n,18.24080238,0.069,Present,1.97470821,Present,2.604380799,Present,1.441770055,0.952,Present,1.441770055,0.759,Present,65.38281068,0.0276,Present,2.385249166,0.0966,Present,43.57217355,0.0138,Present,9.115373659,0.0414,Present,0.083467317,18.31492631,Present,2.017043339,0.373,Present,8.046806012,0.11,Present,11.93761789,Present,107,N,N,P,N,2.68806872,6.039824033,4.754390671,14.40418094,34.7531164,36.77764616,0.15956568,72.47210783,4.13107242,6.246913355,14.1534849,21.42672688,50.41710515
32,2.762978491,8.23,2.743509765,8.02,0.35,28,24.7,0.713490543,0.5,present,0,1.0056509,0.2794,0.976524348,0,0.486082043,0,0.660666946,0.381,0.575729036,25.88657407,0,20.94583333,0.813624948,4.7498,21.99861111,0.853355658,0.381,22.6162037,1.050358878,n,n,y,y,n,n,rocky,cobble or bigger,p,n,18.24080238,0.069,Present,1.97470821,Present,2.604380799,Present,1.441770055,0.952,Present,1.441770055,0.759,Present,65.38281068,0.0276,Present,2.385249166,0.0966,Present,43.57217355,0.0138,Present,9.115373659,0.0414,Present,0.083467317,18.31492631,Present,2.017043339,0.373,Present,8.046806012,0.11,Present,11.93761789,Present,107,N,N,P,N,2.68806872,6.039824033,4.754390671,14.40418094,34.7531164,36.77764616,0.15956568,72.47210783,4.13107242,6.246913355,14.1534849,21.42672688,50.41710515
17,1.170261715,8.05,2.739572344,11.98,0.3,19.8,8.5,0.494154594,0,absent,0,1.21442026,0,1.193491,0.0254,0.758860053,0,0.385621599,0.2032,0.277138273,9.034722222,2.1844,4.391203704,0.25299986,0.7366,2.4875,0.527016185,3.2004,4.116898148,0.635377424,y,n,n,y,y,n,rocky,cobble or bigger,p,n,NA,0,0,4.559098169,Present,13.06680318,Present,4.234924994,0.841,Present,4.234924994,0.841,Present,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,NA,0,4.276504113,0.153,Present,NA,0,0,8.862415612,Present,69.1,N,N,N,N,0.024057956,4.993974207,1.263062646,19.33178462,49.20656621,24.9896068,0.063835346,13.08398635,4.890882522,0.537091108,16.48458635,26.29429672,51.5886917
24,1.804820679,8.48,2.756636108,9.65,0.2,23.9,22.3,0,0,absent,0,1.105064881,0,0.728861448,0,0.871529231,0,1.013324962,0,0.948269848,17.37268519,1.1176,15.99861111,0.482698479,0.9906,21.72291667,0.893365425,2.9464,15.92731481,0.625558114,y,n,n,y,y,n,rocky,cobble or bigger,p,n,NA,0,0,4.559098169,Present,13.06680318,Present,4.234924994,0.841,Present,4.234924994,0.841,Present,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,NA,0,4.276504113,0.153,Present,NA,0,0,8.862415612,Present,69.1,N,N,N,N,0.024057956,4.993974207,1.263062646,19.33178462,49.20656621,24.9896068,0.063835346,13.08398635,4.890882522,0.537091108,16.48458635,26.29429672,51.5886917
38,1.773786445,8.55,2.787460475,9.84,0.3,20.6,17.7,0.053078443,0.025,present,0,0.948618669,0,0.901876657,0,0.724326775,0.0508,0.749441886,0,0.524801172,23.68055556,4.9022,16.03935185,0.361343658,2.2098,24.27962963,0.75831938,1.3462,21.6099537,0.5907173,y,n,n,y,y,n,rocky,cobble or bigger,p,n,NA,0,0,4.559098169,Present,13.06680318,Present,4.234924994,0.841,Present,4.234924994,0.841,Present,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,NA,0,4.276504113,0.153,Present,NA,0,0,8.862415612,Present,69.1,N,N,N,N,0.024057956,4.993974207,1.263062646,19.33178462,49.20656621,24.9896068,0.063835346,13.08398635,4.890882522,0.537091108,16.48458635,26.29429672,51.5886917
22,1.537819095,7.33,2.73239376,3.2,0,31.2,26.6,0.77524626,0.025,present,0,1.064078415,0,0.845716478,0,0.473524487,0,0.817113158,0,1.060764616,21.81944444,2.1336,16.74074074,0.739640017,2.2606,15.06990741,0.720088601,1.9558,15.86828704,0.739273755,n,y,n,y,n,y,not rocky,sand and organic matter,a,n,NA,0,0,4.285633506,Present,NA,0,12.00348046,0.349,Present,12.00348046,0.349,Present,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0.010944804,NA,0,1.65585012,0.174,Present,NA,0,0,0.881075705,Present,74.7,N,N,N,N,2.220633637,5.544296103,1.373833215,8.240513466,23.80231204,58.44380508,0.277121278,5.73675123,5.013891654,1.121966008,4.491936506,17.64059078,68.50418107
